ลำดับ,วันที่,เวลาเริ่ม,เวลาสิ้นสุด,ระยะเวลาดับ_นาที,สถานที่,รหัสอุปกรณ์,จำนวนผชฟ_กระทบ,สภาพอากาศ,สาเหตุ,ช่องทางการแจ้ง,เวลารับแจ้ง,เวลาออกปฏิบัติงาน,เวลาเสร็จงาน,เวลาแก้ไข_นาที,ผู้ปฏิบัติงาน,ยานพาหนะ,อุปกรณ์_รายการ,อุปกรณ์_จำนวน,หมายเหตุ,date_iso
442,21 ก.พ. 2569,09:15,10:00,45,กฟส.นาแก (S),THA04VF-236,207,อากาศปกติ,สัตว์-งู,ศจฟ,09:15,09:17,10:07,50,1. บัญชา ปู่บุตรชา,รถ : นก-03,FUSE LINK 22 KV. 25 A.EEI-NEMA TYPE K,2,,2026-02-21
443,21 ก.พ. 2569,10:00,10:55,54,กฟส.นาแก (S),29-000080,221,อากาศปกติ,ต้นไม้-ต้นไม้ล้มทับสาย,ศจฟ,10:00,10:21,10:37,16,1. บัญชา ปู่บุตรชา,รถ : นก-03,"CABLE,AL,750 V,50 SQ.MM. TIS.293",5,,2026-02-21
444,21 ก.พ. 2569,21:54,22:00,6,กฟส.ศรีสงคราม (XS),53-002264,1,อากาศปกติ,ต้นไม้-ต้นไม้ล้มทับสาย,ศจฟ,21:54,21:55,23:00,65,1. วุฒิชัย เหมเมือง,รถ : ศรีสงคราม 02,FUSE LINK 22 KV. 40 A.EEI-NEMA TYPE K,2,,2026-02-21
445,22 ก.พ. 2569,07:00,07:42,42,กฟส.ศรีสงคราม (XS),SSK02VF-005,55,ลมแรง,ต้นไม้-ลมพัดต้นไม้มาแตะสาย,ศจฟ,07:00,07:00,07:57,57,1. วุฒิชัย เหมเมือง,รถ : ศรีสงคราม 02,FUSE LINK 22 KV. 10 A.EEI-NEMA TYPE K,2,,2026-02-22
446,22 ก.พ. 2569,07:15,09:01,106,กฟส.โพนสวรรค์ (XS),SSK07F-10,447,อากาศชื้น / หมอก,ต้นไม้-ลมพัดต้นไม้มาแตะสาย,ศจฟ,07:15,07:04,08:30,86,1. เพชราวุธ โพชราช,รถ : โพนสวรรค์-02,FUSE LINK 22 KV. 25 A.EEI-NEMA TYPE K,1,,2026-02-22
447,22 ก.พ. 2569,08:10,08:40,29,กฟส.ศรีสงคราม (XS),60-030971,14,อากาศปกติ,สัตว์-กระรอก/กระแต/หนู,ศจฟ,08:10,08:24,09:00,36,1. วุฒิชัย เหมเมือง,รถ : ศรีสงคราม 02,FUSE LINK 22 KV. 3 A.EEI-NEMA TYPE K,2,,2026-02-22
448,22 ก.พ. 2569,11:24,11:58,33,กฟส.บ้านแพง (S),29388008,1,อากาศปกติ,สภาพสิ่งแวดล้อม-ตะไคร่น้ำจับสาย,ศจฟ,11:24,10:00,11:00,60,1. จตุรภุช สะท้านอิทธิฤทธิ์,รถ : กระเช้าบ้านแพง,"CONN.,PG,DOUBLE BOLT,AL 25-95 SQ.MM.",2,,2026-02-22
449,22 ก.พ. 2569,13:20,13:48,27,กฟส.โพนสวรรค์ (XS),6000830541,1,อากาศปกติ,อุปกรณ์-ชำรุด,ศจฟ,13:20,11:30,13:00,90,1. รวิชญ์ พรมน้อย,รถ : โพนสวรรค์-03,"CABLE,CU,PVC,INS.&JAC. 600V, 2X10 SQ.MM.",7,,2026-02-22
450,22 ก.พ. 2569,13:55,14:20,24,กฟจ.นครพนม (L),NNB10VF-099-1,222,อากาศปกติ,อุปกรณ์-ชำรุด,ศจฟ,13:55,13:56,14:22,26,1. จันทะคาด บัวเคน  | 2. นลธวัช ศรีหาเศษ  | 3. เกริกฤทธิ์ จันทรโพธิ์ศรี,รถ : 3ฒภ 2576 กทม (นพ 01),FUSE LINK 22 KV. 25 A.EEI-NEMA TYPE K,2,,2026-02-22
451,22 ก.พ. 2569,17:18,17:42,24,กฟส.บ้านแพง (S),SSK08F-125,61,อากาศปกติ,สัตว์-งู,ศจฟ,17:18,16:46,18:01,75,1. จตุรภุช สะท้านอิทธิฤทธิ์,รถ : บ้านแพง01,FUSE LINK 22 KV. 20 A.EEI-NEMA TYPE K,1,,2026-02-22
452,22 ก.พ. 2569,17:19,17:30,11,กฟส.ท่าอุเทน (XS),NNA01VF-202,255,อากาศปกติ,สัตว์-งู,ศจฟ,17:19,17:20,17:38,18,1. อนุสรณ์ ทองประสม,รถ : รถแก้ไฟท่าอุเทน,FUSE LINK 22 KV. 25 A.EEI-NEMA TYPE K,2,,2026-02-22
453,22 ก.พ. 2569,20:46,19:25,0,กฟส.โพนสวรรค์ (XS),58-013948,314,ลมแรง,อุปกรณ์-ชำรุด,ศจฟ,20:46,18:20,20:20,120,1. สุทธิเกียรติ บุญรังษี,รถ : โพนสวรรค์-03,"CABLE,AL,750 V,50 SQ.MM. TIS.293",5,,2026-02-22
454,22 ก.พ. 2569,21:19,21:34,15,กฟส.นาหว้า (XS),67-025159,2,ลมแรง,อุปกรณ์-ชำรุด,ศจฟ,21:19,17:00,19:00,120,1. ศิลารักษ์ วิภา,รถ : นาหว้า 02,"H.R.C. FUSE, BLADE CONTACT, 160 A",1,,2026-02-22
455,22 ก.พ. 2569,21:20,21:39,18,กฟส.นาหว้า (XS),63-029958,55,ลมแรง,อุปกรณ์-ชำรุด,ศจฟ,21:20,20:00,21:00,60,1. ศิลารักษ์ วิภา,รถ : นาหว้า 02,"H.R.C. FUSE, BLADE CONTACT, 160 A",1,,2026-02-22
456,23 ก.พ. 2569,08:03,08:15,12,กฟส.ท่าอุเทน (XS),SSK02VF-232,36,อากาศชื้น / หมอก,อุปกรณ์-ชำรุด,ศจฟ,08:03,08:05,10:07,122,1. อนุสรณ์ ทองประสม,รถ : รถแก้ไฟท่าอุเทน,FUSE LINK 22 KV. 8 A.EEI-NEMA TYPE K,1,,2026-02-23
457,23 ก.พ. 2569,10:30,10:30,0,กฟจ.นครพนม (L),NNB01VF-018,566,อากาศปกติ,ต้นไม้-ต้นไม้เลื้อย/โตมาแตะสาย,ศจฟ,10:30,09:50,11:00,70,1. จันทะคาด บัวเคน  | 2. ถวิล เมษาคุณ  | 3. ศักดิ์อนันต์ แสนเมือง,รถ : 3ฒภ 2576 กทม (นพ 01),FUSE LINK 22 KV. 25 A.EEI-NEMA TYPE K,1,,2026-02-23
458,23 ก.พ. 2569,10:40,11:51,70,กฟส.โพนสวรรค์ (XS),6500436677,1,อากาศปกติ,อุปกรณ์-ชำรุด,ศจฟ,10:40,11:07,12:03,56,1. ทรงกลด มาศศรี,รถ : โพนสวรรค์-03,"CABLE,CU,PVC,INS.&JAC. 600V, 2X10 SQ.MM.",7,,2026-02-23
459,23 ก.พ. 2569,11:30,11:56,26,กฟส.ศรีสงคราม (XS),SSK04VF-001,663,อากาศปกติ,บุคคลภายนอก-คนตัดต้นไม้,ศจฟ,11:30,11:31,12:12,41,1. ปัญจพงษ์ เศรษฐาไชย,รถ : ศรีสงคราม 01,FUSE LINK 22 KV. 25 A.EEI-NEMA TYPE K,3,,2026-02-23
460,23 ก.พ. 2569,11:47,12:03,15,กฟส.นาแก (S),51-003740,33,อากาศปกติ,บุคคลภายนอก-คนตัดต้นไม้,ศจฟ,11:47,11:57,12:04,7,1. วรพันธุ์ ตันสมรส,รถ : นก-02,"CABLE,AL,750 V,50 SQ.MM. TIS.293",5,,2026-02-23
461,23 ก.พ. 2569,13:20,11:40,0,กฟจ.นครพนม (L),67-034422,212,อากาศปกติ,วัสดุแปลกปลอม-เศษกิ่งไม้ใบไม้/ฟาง/ทางมะพร้าวปลิวมาแตะ,ศจฟ,13:20,11:00,12:10,70,1. จันทะคาด บัวเคน  | 2. ถวิล เมษาคุณ  | 3. ศักดิ์อนันต์ แสนเมือง,รถ : 3ฒภ 2576 กทม (นพ 01),"H.R.C. FUSE, BLADE CONTACT, 100 A",1,,2026-02-23
462,23 ก.พ. 2569,13:43,14:01,18,กฟส.นาแก (S),54-011574,19,อากาศปกติ,วัสดุแปลกปลอม-เศษกิ่งไม้ใบไม้/ฟาง/ทางมะพร้าวปลิวมาแตะ,ศจฟ,13:43,13:50,14:03,13,1. วรพันธุ์ ตันสมรส,รถ : นก-02,"CABLE,AL,750 V,50 SQ.MM. TIS.293",5,,2026-02-23
463,23 ก.พ. 2569,14:21,16:05,104,กฟส.นาแก (S),SOA07VF-501,68,อากาศปกติ,วัสดุแปลกปลอม-เศษกิ่งไม้ใบไม้/ฟาง/ทางมะพร้าวปลิวมาแตะ,ศจฟ,14:21,14:22,16:06,104,1. วรพันธุ์ ตันสมรส,รถ : นก-02,FUSE LINK 22 KV. 10 A.EEI-NEMA TYPE K,2,,2026-02-23
464,23 ก.พ. 2569,17:27,18:29,61,กฟส.โพนสวรรค์ (XS),25318190,1,อากาศปกติ,อุปกรณ์-ติดตั้งไม่ได้มาตรฐาน,ศจฟ,17:27,17:28,18:55,87,1. วรัญญู สังรวมใจ,รถ : โพนสวรรค์-03,"CABLE,CU,PVC,INS.&JAC. 600V, 2X10 SQ.MM.",7,,2026-02-23
465,23 ก.พ. 2569,17:28,18:09,40,กฟส.นาแก (S),THA03VF-230,87,ลมแรง,อุปกรณ์-ชำรุด,ศจฟ,17:28,17:29,18:14,45,1. ศักดินันต์ ศรีพุทโธ,รถ : นก-03,FUSE HOLDER 22 KV. 100 A. 12 KA.,1,,2026-02-23
466,23 ก.พ. 2569,18:58,20:39,101,กฟส.โพนสวรรค์ (XS),29405431,1,อากาศปกติ,อุปกรณ์-ติดตั้งไม่ได้มาตรฐาน,ศจฟ,18:58,18:59,20:40,101,1. วรัญญู สังรวมใจ,รถ : โพนสวรรค์-03,"CABLE,CU,PVC,INS.&JAC. 600V, 2X10 SQ.MM.",7,,2026-02-23
467,23 ก.พ. 2569,22:58,23:58,60,กฟส.บ้านแพง (S),SSK08F-66,594,ฝนตก ลมแรง,ต้นไม้-กิ่งไม้หักพาดสาย,ศจฟ,22:58,22:59,00:00,61,1. เอกพล เวกสูงเนิน,รถ : กระเช้าบ้านแพง,FUSE LINK 22 KV. 25 A.EEI-NEMA TYPE K,2,,2026-02-23
468,24 ก.พ. 2569,06:19,06:46,27,กฟส.ท่าอุเทน (XS),SSK02VF-240,734,ฝนตก ลมแรง,ต้นไม้-ลมพัดต้นไม้มาแตะสาย,ศจฟ,06:19,03:00,05:00,120,1. วีระพงษ์ วงตรี  | 2. อนุสรณ์ ทองประสม,รถ : -,FUSE LINK 22 KV. 15 A.EEI-NEMA TYPE K,3,,2026-02-24
469,24 ก.พ. 2569,06:20,07:50,90,กฟส.โพนสวรรค์ (XS),SSK07F-07,532,ฝนตก,ต้นไม้-ลมพัดต้นไม้มาแตะสาย,ศจฟ,06:20,06:22,08:30,128,1. วรัญญู สังรวมใจ,รถ : โพนสวรรค์-03,FUSE LINK 22 KV. 40 A.EEI-NEMA TYPE K,1,,2026-02-24
470,24 ก.พ. 2569,06:21,02:25,0,กฟส.ท่าอุเทน (XS),BFA09VF-221,750,ฝนตก ลมแรง,ต้นไม้-ลมพัดต้นไม้มาแตะสาย,ศจฟ,06:21,00:30,02:45,135,1. วีระพงษ์ วงตรี  | 2. อนุสรณ์ ทองประสม,รถ : -,FUSE LINK 22 KV. 15 A.EEI-NEMA TYPE K,3,,2026-02-24
471,24 ก.พ. 2569,07:42,08:11,29,กฟส.บ้านแพง (S),58-011889,109,ฝนตก ลมแรง,ต้นไม้-ลมพัดต้นไม้มาแตะสาย,ศจฟ,07:42,07:50,08:13,23,1. เอกพล เวกสูงเนิน,รถ : กระเช้าบ้านแพง,FUSE LINK 22 KV. 8 A.EEI-NEMA TYPE K,1,,2026-02-24
472,24 ก.พ. 2569,08:01,08:18,17,กฟส.นาแก (S),THA04VF-236,207,ฝนตก,ต้นไม้-กิ่งไม้หักพาดสาย,ศจฟ,08:01,07:00,08:17,77,1. ศราวุธ วงศ์พิริยะสมบัติ  | 2. ศักดินันต์ ศรีพุทโธ,รถ : นก-03,FUSE HOLDER 22 KV. 100 A. 12 KA.,1,,2026-02-24
473,24 ก.พ. 2569,09:41,13:38,237,กฟจ.นครพนม (L),NNB02VF-023,669,ฝนตก,ต้นไม้-กิ่งไม้หักพาดสาย,ศจฟ,09:41,09:43,13:40,237,1. ทศวรรษ มังคละคีรี  | 2. ธำรงรัตน์ สระแก้ว  | 3. ประจล ศรีสุราช  | 4. พิพัฒน์ นะระทะ  | 5. สุรวุฒิ สุขแสงดาว  | 6. เกริกฤทธิ์ จันทรโพธิ์ศรี,รถ : 3ฒภ 2576 กทม (นพ 01),FUSE LINK 22 KV. 20 A.EEI-NEMA TYPE K,2,,2026-02-24
474,24 ก.พ. 2569,10:07,10:11,4,กฟส.บ้านแพง (S),SSK08F-59-1,750,ฝนตก ลมแรง,ต้นไม้-กิ่งไม้หักพาดสาย,ศจฟ,10:07,09:07,10:14,67,1. ชินดนัย คงชะสิงห์,รถ : กระเช้าบ้านแพง,FUSE LINK 22 KV. 10 A.EEI-NEMA TYPE K,1,,2026-02-24
475,24 ก.พ. 2569,10:30,12:12,102,กฟส.โพนสวรรค์ (XS),SSK07F-07,168,ฝนตก,สภาพสิ่งแวดล้อม-ความชื้น,ศจฟ,10:30,10:30,12:00,90,1. ทรงกลด มาศศรี,รถ : โพนสวรรค์-03,FUSE LINK 22 KV. 20 A.EEI-NEMA TYPE K,2,,2026-02-24
476,24 ก.พ. 2569,10:35,11:00,24,กฟส.ศรีสงคราม (XS),60-030863,46,ฝนตก,อุปกรณ์-ชำรุด,ศจฟ,10:35,11:08,11:55,47,1. วุฒิชัย เหมเมือง,รถ : ศรีสงคราม 01,,,,2026-02-24
477,24 ก.พ. 2569,10:37,11:11,33,กฟส.ธาตุพนม (S),THA06F-18,84,ฝนตก,ต้นไม้-กิ่งไม้หักพาดสาย,ศจฟ,10:37,10:09,11:14,65,1. อติชาติ เมืองงาม,รถ : กระเช้าธาตุพนม,FUSE LINK 22 KV. 15 A.EEI-NEMA TYPE K,1,,2026-02-24
478,24 ก.พ. 2569,10:38,11:00,22,กฟส.นาแก (S),THA03VF-211,32,อากาศปกติ,อุปกรณ์-ทำงานผิดพลาด,ศจฟ,10:38,10:05,11:00,55,1. อนาวิน อาจหาญ,รถ : นก-03,FUSE LINK 22 KV. 8 A.EEI-NEMA TYPE K,2,,2026-02-24
479,24 ก.พ. 2569,10:44,12:15,91,กฟส.นาทม (XS),SEK03F-97/1,105,ฝนตก,วัสดุแปลกปลอม-เศษกิ่งไม้ใบไม้/ฟาง/ทางมะพร้าวปลิวมาแตะ,ศจฟ,10:44,11:12,12:19,67,1. นราธร อินทรายุทธ,รถ : นาทม 02,FUSE LINK 22 KV. 10 A.EEI-NEMA TYPE K,2,,2026-02-24
480,24 ก.พ. 2569,10:49,11:36,47,กฟส.บ้านแพง (S),SSK08F-51-3,57,ฝนตก ลมแรง,ภัยธรรมชาติ-พายุฤดูร้อน/พายุดีเปรสชั่น,ศจฟ,10:49,11:13,11:38,25,1. ชินดนัย คงชะสิงห์,รถ : กระเช้าบ้านแพง,FUSE LINK 22 KV. 25 A.EEI-NEMA TYPE K,1,,2026-02-24
481,24 ก.พ. 2569,11:00,13:35,155,กฟส.โพนสวรรค์ (XS),SSK07F-05,334,อากาศปกติ,สัตว์-งู,ศจฟ,11:00,11:14,14:03,169,1. ทรงกลด มาศศรี,รถ : โพนสวรรค์-03,FUSE LINK 22 KV. 15 A.EEI-NEMA TYPE K,2,,2026-02-24
482,24 ก.พ. 2569,11:14,12:10,56,กฟส.นาแก (S),THA04VF-236,207,อากาศปกติ,อุปกรณ์-ทำงานผิดพลาด,ศจฟ,11:14,11:00,12:10,70,1. อนาวิน อาจหาญ,รถ : นก-03,FUSE LINK 22 KV. 25 A.EEI-NEMA TYPE K,2,,2026-02-24
483,24 ก.พ. 2569,11:30,16:36,306,กฟจ.นครพนม (L),SSK02VF-249,502,อากาศปกติ,อุปกรณ์-ทำงานผิดพลาด,ศจฟ,11:30,10:30,14:03,213,1. ทศวรรษ มังคละคีรี  | 2. ธำรงรัตน์ สระแก้ว  | 3. ประจล ศรีสุราช  | 4. พิพัฒน์ นะระทะ  | 5. สุรวุฒิ สุขแสงดาว  | 6. เกริกฤทธิ์ จันทรโพธิ์ศรี,รถ : รถกระเช้า (04),"CABLE,AERIAL,AL 22 KV. 1X185 SQ.MM.",9,,2026-02-24
484,24 ก.พ. 2569,11:32,11:57,24,กฟส.ธาตุพนม (S),63-018949,17,ฝนตก,สภาพสิ่งแวดล้อม-ฟ้าผ่า,ศจฟ,11:32,11:33,12:32,59,1. อติชาติ เมืองงาม,รถ : กระเช้าธาตุพนม,FUSE LINK 22 KV. 3 A.EEI-NEMA TYPE K,1,,2026-02-24
485,24 ก.พ. 2569,11:38,12:01,22,กฟส.นาหว้า (XS),SSK06F-18,708,ฝนตก,สภาพสิ่งแวดล้อม-ฟ้าผ่า,ศจฟ,11:38,11:30,12:03,33,1. อัมรินทร์ วะราวัง,รถ : นาหว้า 02,FUSE HOLDER 22 KV. 100 A. 12 KA.,1,,2026-02-24
486,24 ก.พ. 2569,13:10,14:15,64,กฟส.นาแก (S),THA03VF-221-1,59,อากาศปกติ,อุปกรณ์-ทำงานผิดพลาด,ศจฟ,13:10,13:00,14:10,70,1. อนาวิน อาจหาญ,รถ : นก-03,FUSE LINK 22 KV. 10 A.EEI-NEMA TYPE K,2,,2026-02-24
487,24 ก.พ. 2569,13:39,13:45,6,กฟส.นาหว้า (XS),SSK06F-17,63,อากาศปกติ,อุปกรณ์-ทำงานผิดพลาด,ศจฟ,13:39,13:41,13:46,5,1. อัมรินทร์ วะราวัง,รถ : นาหว้า 02,FUSE LINK 22 KV. 20 A.EEI-NEMA TYPE K,3,,2026-02-24
488,24 ก.พ. 2569,14:12,16:09,117,กฟส.ท่าอุเทน (XS),67-000502,272,ฝนตก,อุปกรณ์-ทำงานผิดพลาด,ศจฟ,14:12,14:15,15:01,46,1. วีระพงษ์ วงตรี  | 2. สุรธวัช วุฒิสาร,รถ : -,"CABLE,AL,750 V,50 SQ.MM. TIS.293",10,,2026-02-24
489,24 ก.พ. 2569,14:29,14:47,18,กฟส.นาหว้า (XS),SSK04VF-107,866,ฝนตก,อุปกรณ์-ทำงานผิดพลาด,ศจฟ,14:29,14:30,14:48,18,1. อัมรินทร์ วะราวัง,รถ : นาหว้า 02,FUSE LINK 22 KV. 15 A.EEI-NEMA TYPE K,3,,2026-02-24
490,24 ก.พ. 2569,14:33,14:59,26,กฟส.ศรีสงคราม (XS),SSK02VF-034,205,อากาศชื้น / หมอก,สัตว์-งู,ศจฟ,14:33,14:34,15:30,56,1. ปัญจพงษ์ เศรษฐาไชย  | 2. วุฒิชัย เหมเมือง,รถ : ศรีสงคราม 02,FUSE LINK 22 KV. 25 A.EEI-NEMA TYPE K,2,,2026-02-24
491,24 ก.พ. 2569,14:51,15:30,38,กฟส.ท่าอุเทน (XS),SSK02VF-240,734,ลมแรง,ต้นไม้-กิ่งไม้หักพาดสาย,ศจฟ,14:51,14:52,15:54,62,1. วีระพงษ์ วงตรี  | 2. สุรธวัช วุฒิสาร,รถ : รถแก้ไฟท่าอุเทน,FUSE LINK 22 KV. 25 A.EEI-NEMA TYPE K,2,,2026-02-24
492,24 ก.พ. 2569,15:04,15:11,7,กฟส.นาหว้า (XS),63-029958,55,ลมแรง,ต้นไม้-กิ่งไม้หักพาดสาย,ศจฟ,15:04,15:05,15:15,10,1. อัมรินทร์ วะราวัง,รถ : นาหว้า 02,"CABLE LUG,NEMA 2-HOLE,AL 50 SQ.MM.",2,,2026-02-24
493,24 ก.พ. 2569,15:15,13:59,0,กฟส.บ้านแพง (S),SSK08F-69-1,239,ฝนตก ลมแรง,ภัยธรรมชาติ-พายุฤดูร้อน/พายุดีเปรสชั่น,ศจฟ,15:15,13:00,14:00,60,1. ชินดนัย คงชะสิงห์,รถ : กระเช้าบ้านแพง,FUSE LINK 22 KV. 15 A.EEI-NEMA TYPE K,1,,2026-02-24
494,24 ก.พ. 2569,15:50,16:40,49,กฟส.ศรีสงคราม (XS),62-002180,27,ฝนตก,ภัยธรรมชาติ-พายุฤดูร้อน/พายุดีเปรสชั่น,ศจฟ,15:50,15:51,17:20,89,1. ปัญจพงษ์ เศรษฐาไชย  | 2. วุฒิชัย เหมเมือง,รถ : ศรีสงคราม 01,"H.R.C. FUSE, BLADE CONTACT, 100 A",1,,2026-02-24
495,24 ก.พ. 2569,16:04,17:10,66,กฟส.ท่าอุเทน (XS),SSK02VF-260,1,ลมแรง,ต้นไม้-กิ่งไม้หักพาดสาย,ศจฟ,16:04,16:12,17:40,88,1. วีระพงษ์ วงตรี  | 2. สุรธวัช วุฒิสาร,รถ : รถแก้ไฟท่าอุเทน,FUSE LINK 22 KV. 20 A.EEI-NEMA TYPE K,2,,2026-02-24
496,24 ก.พ. 2569,16:05,14:30,0,กฟส.บ้านแพง (S),63-004444,45,อากาศปกติ,ภัยธรรมชาติ-พายุฤดูร้อน/พายุดีเปรสชั่น,ศจฟ,16:05,14:00,15:45,105,1. ชินดนัย คงชะสิงห์,รถ : กระเช้าบ้านแพง,"H.R.C. FUSE, BLADE CONTACT, 80 A",1,,2026-02-24
497,24 ก.พ. 2569,17:05,17:45,40,กฟส.ธาตุพนม (S),THA02VF-012,204,อากาศปกติ,ภัยธรรมชาติ-พายุฤดูร้อน/พายุดีเปรสชั่น,ศจฟ,17:05,17:06,17:51,45,1. นรากร แสนโสม,รถ : กระเช้าธาตุพนม,FUSE LINK 22 KV. 15 A.EEI-NEMA TYPE K,2,,2026-02-24
498,24 ก.พ. 2569,17:57,18:10,13,กฟส.ท่าอุเทน (XS),NNA01VF-230,470,อากาศปกติ,ภัยธรรมชาติ-พายุฤดูร้อน/พายุดีเปรสชั่น,ศจฟ,17:57,17:58,18:28,30,1. สุรธวัช วุฒิสาร,รถ : รถแก้ไฟท่าอุเทน,FUSE LINK 22 KV. 15 A.EEI-NEMA TYPE K,1,,2026-02-24
499,24 ก.พ. 2569,18:28,19:05,36,กฟส.ธาตุพนม (S),THA02VF-030,185,อากาศปกติ,ภัยธรรมชาติ-พายุฤดูร้อน/พายุดีเปรสชั่น,ศจฟ,18:28,18:29,19:10,41,1. นรากร แสนโสม,รถ : กระเช้าธาตุพนม,FUSE LINK 22 KV. 20 A.EEI-NEMA TYPE K,2,,2026-02-24
500,24 ก.พ. 2569,18:29,19:15,45,กฟส.นาทม (XS),54-002759,142,อากาศปกติ,ภัยธรรมชาติ-พายุฤดูร้อน/พายุดีเปรสชั่น,ศจฟ,18:29,18:30,19:15,45,1. วราวุธ นาขมิ้น,รถ : นาทม 02,"H.R.C. FUSE, BLADE CONTACT, 100 A",2,,2026-02-24
501,24 ก.พ. 2569,19:15,19:35,20,กฟส.ธาตุพนม (S),6100979296,1,อากาศปกติ,ภัยธรรมชาติ-พายุฤดูร้อน/พายุดีเปรสชั่น,ศจฟ,19:15,19:16,19:46,30,1. นรากร แสนโสม,รถ : กระเช้าธาตุพนม,"TAPE,PVC,O/D,0.18X19X10,000 MM. TIS.386",1,,2026-02-24
502,24 ก.พ. 2569,19:16,20:00,44,กฟจ.นครพนม (L),NNB02VF-021,49,อากาศปกติ,ภัยธรรมชาติ-พายุฤดูร้อน/พายุดีเปรสชั่น,ศจฟ,19:16,19:16,20:18,62,1. ประจล ศรีสุราช  | 2. พงษ์สนิจ ศรีวิชัย,รถ : 81-1269 นพ (นพ 03),FUSE LINK 22 KV. 25 A.EEI-NEMA TYPE K,1,,2026-02-24
503,24 ก.พ. 2569,19:56,20:30,33,กฟส.ธาตุพนม (S),55-004707,37,อากาศปกติ,ภัยธรรมชาติ-พายุฤดูร้อน/พายุดีเปรสชั่น,ศจฟ,19:56,19:57,20:35,38,1. นรากร แสนโสม,รถ : กระเช้าธาตุพนม,"CABLE,AL,750 V,50 SQ.MM. TIS.293",4,,2026-02-24
504,24 ก.พ. 2569,19:56,20:59,63,กฟส.โพนสวรรค์ (XS),SSK07F-04,36,อากาศชื้น / หมอก,สัตว์-งู,ศจฟ,19:56,19:57,21:26,89,1. ทรงกลด มาศศรี,รถ : โพนสวรรค์-03,FUSE LINK 22 KV. 15 A.EEI-NEMA TYPE K,2,,2026-02-24
505,24 ก.พ. 2569,20:42,21:50,67,กฟส.ศรีสงคราม (XS),SSK06VF-002,7,อากาศชื้น / หมอก,สัตว์-งู,ศจฟ,20:42,20:43,21:51,68,1. วุฒิชัย เหมเมือง,รถ : ศรีสงคราม 03,FUSE LINK 22 KV. 10 A.EEI-NEMA TYPE K,2,,2026-02-24
506,24 ก.พ. 2569,21:32,22:15,42,กฟส.โพนสวรรค์ (XS),35-010325,178,อากาศปกติ,อุปกรณ์-ชำรุด,ศจฟ,21:32,21:33,22:39,66,1. ทรงกลด มาศศรี,รถ : โพนสวรรค์-03,"H.R.C. FUSE, BLADE CONTACT, 160 A",1,,2026-02-24
507,24 ก.พ. 2569,21:54,22:24,29,กฟส.ศรีสงคราม (XS),64-101643,1,อากาศปกติ,อุปกรณ์-ชำรุด,ศจฟ,21:54,21:55,23:00,65,1. วุฒิชัย เหมเมือง,รถ : ศรีสงคราม 03,"H.R.C. FUSE, BLADE CONTACT, 100 A",1,,2026-02-24
508,24 ก.พ. 2569,22:44,23:28,44,กฟส.บ้านแพง (S),SSK08F-65-1,519,ฝนตก,อุปกรณ์-ชำรุด,ศจฟ,22:44,22:45,23:36,51,1. จตุรภุช สะท้านอิทธิฤทธิ์,รถ : บ้านแพง01,"FSD, FULL INSULATED, 1X400A, 400V",1,,2026-02-24
509,24 ก.พ. 2569,22:57,23:05,8,กฟส.บ้านแพง (S),45-015666,276,ฝนตก,ภัยธรรมชาติ-พายุฤดูร้อน/พายุดีเปรสชั่น,ศจฟ,22:57,22:58,23:21,23,1. จตุรภุช สะท้านอิทธิฤทธิ์,รถ : บ้านแพง01,FUSE LINK 22 KV. 30 A.EEI-NEMA TYPE K,2,,2026-02-24
510,25 ก.พ. 2569,,05:35,0,กฟจ.นครพนม (L),NNA07F-40,395,ฝนตก ลมแรง,สภาพสิ่งแวดล้อม-ฟ้าผ่า,ศจฟ,07:00,05:00,05:50,50,1. ทศวรรษ มังคละคีรี  | 2. ประจล ศรีสุราช  | 3. พงษ์สนิจ ศรีวิชัย  | 4. ภานุวัฒน์ สิงห์ทองไชย,รถ : 3ฒภ 2576 กทม (นพ 01),FUSE LINK 22 KV. 25 A.EEI-NEMA TYPE K,3,,2026-02-25
511,25 ก.พ. 2569,,06:15,0,กฟจ.นครพนม (L),NNB01VF-003,982,ฝนตก ลมแรง,สภาพสิ่งแวดล้อม-ฟ้าผ่า,ศจฟ,07:00,05:50,06:40,50,1. ทศวรรษ มังคละคีรี  | 2. ประจล ศรีสุราช  | 3. พงษ์สนิจ ศรีวิชัย  | 4. ภานุวัฒน์ สิงห์ทองไชย,รถ : 3ฒภ 2576 กทม (นพ 01),FUSE LINK 22 KV. 25 A.EEI-NEMA TYPE K,3,,2026-02-25
512,25 ก.พ. 2569,,07:00,0,กฟจ.นครพนม (L),NNA02VF-017,4,ฝนตก ลมแรง,สภาพสิ่งแวดล้อม-ฟ้าผ่า,ศจฟ,07:00,06:40,07:15,35,1. ทศวรรษ มังคละคีรี  | 2. ประจล ศรีสุราช  | 3. พงษ์สนิจ ศรีวิชัย  | 4. ภานุวัฒน์ สิงห์ทองไชย,รถ : 3ฒภ 2576 กทม (นพ 01),FUSE LINK 22 KV. 8 A.EEI-NEMA TYPE K,3,,2026-02-25
513,25 ก.พ. 2569,04:19,09:30,311,กฟส.ท่าอุเทน (XS),,2674,ฝนตก ลมแรง,อุปกรณ์-ชำรุด,ศจฟ,04:18,05:35,08:00,145,1. วีระพงษ์ วงตรี  | 2. สุรธวัช วุฒิสาร,รถ : -,,,,2026-02-25
